Model,Horizon,N,Price_RMSE,Price_MAE,Price_MAPE_Percent,Price_NRMSE_Range,Price_R2,Return_RMSE,Return_MAE,Return_R2,Directional_Accuracy_Percent,Always_Up_Accuracy_Percent,Persistence_Price_RMSE,Persistence_Price_MAE,RMSE_Skill_vs_Persistence,MAE_Skill_vs_Persistence,Best_Params
Ridge,H1,609,844.0511484422819,546.3686774457885,0.6306681885842385,0.010551694524981023,0.9982166986825511,0.00901191246342751,0.006309381894007843,-0.012708874731673259,59.93431855500822,59.93431855500822,849.5308924778545,552.832512315271,0.00645031756242509,0.011692211882423087,"{""alpha"": 10000000000.0}"
Ridge,H2,609,1217.8103417756433,832.2565408679662,0.9644402506142349,0.014910076787536801,0.996326987330218,0.013082408050726949,0.009673464431556481,-0.025099247558121762,62.23316912972086,62.23316912972086,1233.1886106453007,847.7848932676519,0.01247032995350994,0.018316382519903307,"{""alpha"": 10000000000.0}"
Ridge,H3,609,1519.3815461122063,1068.7453601796008,1.2385698910722842,0.01860231823049581,0.9943291855313264,0.01654935324368484,0.012449090806082634,-0.03500201436967898,62.88998357963875,62.88998357963875,1546.002527310327,1091.1510673234811,0.017219235239178343,0.02053401019790968,"{""alpha"": 10000000000.0}"
Ridge,H4,609,1792.5823918984447,1287.5418467951417,1.4888524291142962,0.021947211478120458,0.99217353785464,0.019530761523000668,0.014988095992073432,-0.045402742682300046,63.8752052545156,63.8752052545156,1832.1301706574152,1321.3399014778324,0.021585681733945594,0.02557862261246313,"{""alpha"": 10000000000.0}"
Ridge,H5,609,1994.061125141802,1433.230749567319,1.6597225767500685,0.024413985885154962,0.9904022351774324,0.021858946511106973,0.016736074724121676,-0.05792392062670482,66.00985221674877,66.00985221674877,2049.380461471727,1484.8407224958949,0.02699319983279158,0.0347579185744743,"{""alpha"": 10000000000.0}"
Ridge,H6,609,2182.7581752524466,1564.559078937089,1.8105912541299847,0.026724269687334826,0.9886028631598166,0.024014336484766922,0.018303206183222065,-0.0705317407532704,67.81609195402298,67.81609195402298,2255.2720882674503,1631.3809523809523,0.032153066316140344,0.04096031239444031,"{""alpha"": 10000000000.0}"
Ridge,H7,609,2373.9489517500833,1701.4991328394826,1.9694164728984425,0.0290650850514843,0.9866377905379458,0.026149486891251225,0.019962298789855726,-0.082423946940408,69.78653530377669,69.78653530377669,2464.357652361372,1790.2939244663382,0.03668651769139841,0.049597884689981386,"{""alpha"": 10000000000.0}"
Ridge,Overall,4263,1776.581908050304,1204.8859123760556,1.3946087233090785,0.021751311973386683,0.9923164790937502,0.01944219736685261,0.014060230402988549,-0.035082886867773055,64.64930799906169,64.64930799906169,1826.337191919348,1245.660567675346,0.027243207929612767,0.03273335959842116,"{""H1"": {""alpha"": 10000000000.0}, ""H2"": {""alpha"": 10000000000.0}, ""H3"": {""alpha"": 10000000000.0}, ""H4"": {""alpha"": 10000000000.0}, ""H5"": {""alpha"": 10000000000.0}, ""H6"": {""alpha"": 10000000000.0}, ""H7"": {""alpha"": 10000000000.0}}"
KNN,H1,609,838.281771862863,540.3223212907164,0.6258124594656623,0.010479570105296317,0.9982409943050382,0.008968402869767146,0.0062572343987211424,-0.002953745702562127,58.128078817733986,59.93431855500822,849.5308924778545,552.832512315271,0.013241567451633074,0.022629260663707407,"{""model__n_neighbors"": 201, ""model__p"": 1, ""model__weights"": ""distance""}"
KNN,H2,609,1202.1782329060343,817.3543990316049,0.9513419687689484,0.014718687426154661,0.9964206774938381,0.012970368757464459,0.009532786120419912,-0.0076162896354461385,60.91954022988506,62.23316912972086,1233.1886106453007,847.7848932676519,0.025146500277065775,0.0358941218199319,"{""model__n_neighbors"": 201, ""model__p"": 1, ""model__weights"": ""uniform""}"
KNN,H3,609,1496.9501182442436,1054.9994399044228,1.2292831596817169,0.018327682435009165,0.9944953919366327,0.01640030970265294,0.01233892435187463,-0.016443496921315193,60.26272577996716,62.88998357963875,1546.002527310327,1091.1510673234811,0.03172854390569646,0.03313164281434999,"{""model__n_neighbors"": 201, ""model__p"": 1, ""model__weights"": ""distance""}"
KNN,H4,609,1756.5674703050236,1254.4455974805715,1.4619518208713733,0.02150626823102004,0.992484862891437,0.019271720014630078,0.014691655221444225,-0.0178557532743453,62.725779967159276,63.8752052545156,1832.1301706574152,1321.3399014778324,0.04124308499612661,0.050626113630901526,"{""model__n_neighbors"": 201, ""model__p"": 2, ""model__weights"": ""distance""}"
KNN,H5,609,1938.1044399516973,1380.6017078623318,1.6167565554251344,0.02372888867063797,0.99093333596502,0.02147761592314374,0.016265763145764906,-0.021334790520737723,64.36781609195403,66.00985221674877,2049.380461471727,1484.8407224958949,0.054297395535877535,0.07020215236173344,"{""model__n_neighbors"": 151, ""model__p"": 2, ""model__weights"": ""uniform""}"
KNN,H6,609,2116.1197257282456,1504.7991118718571,1.7631211442389474,0.025908391906267928,0.9892881375624467,0.023554286424368784,0.017782471656780725,-0.029907614217868694,66.66666666666666,67.81609195402298,2255.2720882674503,1631.3809523809523,0.06170091993028859,0.07759183428269945,"{""model__n_neighbors"": 201, ""model__p"": 2, ""model__weights"": ""uniform""}"
KNN,H7,609,2291.0081167125086,1622.211140668702,1.9061535368737998,0.028049611478292647,0.9875551754188208,0.025598121037071615,0.0192722362821405,-0.03725903219920257,68.14449917898193,69.78653530377669,2464.357652361372,1790.2939244663382,0.07034268564173629,0.09388558018356641,"{""model__n_neighbors"": 201, ""model__p"": 2, ""model__weights"": ""uniform""}"
KNN,Overall,4263,1730.2876503871141,1167.8191025871724,1.3649172350465117,0.021184515229343805,0.9927116969368727,0.019125107886665382,0.013734438739592292,-0.0015951681917842908,63.030729533192584,64.64930799906169,1826.337191919348,1245.660567675346,0.052591351672191866,0.0624901093509298,"{""H1"": {""model__n_neighbors"": 201, ""model__p"": 1, ""model__weights"": ""distance""}, ""H2"": {""model__n_neighbors"": 201, ""model__p"": 1, ""model__weights"": ""uniform""}, ""H3"": {""model__n_neighbors"": 201, ""model__p"": 1, ""model__weights"": ""distance""}, ""H4"": {""model__n_neighbors"": 201, ""model__p"": 2, ""model__weights"": ""distance""}, ""H5"": {""model__n_neighbors"": 151, ""model__p"": 2, ""model__weights"": ""uniform""}, ""H6"": {""model__n_neighbors"": 201, ""model__p"": 2, ""model__weights"": ""uniform""}, ""H7"": {""model__n_neighbors"": 201, ""model__p"": 2, ""model__weights"": ""uniform""}}"
SVR,H1,609,845.689044380689,547.9008064757716,0.6321230360757853,0.01057217027178579,0.9982097709128729,0.009027946722069025,0.006324544589268641,-0.01631576321103667,60.09852216748769,59.93431855500822,849.5308924778545,552.832512315271,0.0045223171178153665,0.008920795592946118,"{""model__C"": 14.689898077648792, ""model__epsilon"": 0.007528657637770698, ""model__gamma"": 1.0431827200054888}"
SVR,H2,609,1217.9778878126886,832.4403289200753,0.964643095297407,0.014912128112108531,0.996325976596397,0.013084119652460808,0.00967560060527889,-0.025367497320608168,62.23316912972086,62.23316912972086,1233.1886106453007,847.7848932676519,0.01233446587270437,0.018099596335614532,"{""model__C"": 5.414413211338521, ""model__epsilon"": 4.075774074807649e-05, ""model__gamma"": 7.045683638454494}"
SVR,H3,609,1514.8436388114956,1064.2386529020573,1.233451146067694,0.018546759048587675,0.9943630087686529,0.016500130525351826,0.012393825289124697,-0.028854360362179587,62.88998357963875,62.88998357963875,1546.002527310327,1091.1510673234811,0.02015448742702919,0.02466424240177678,"{""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}"
SVR,H4,609,1787.061582108047,1281.622137952815,1.4822582116637308,0.021879618278193947,0.9922216716221335,0.019470980495402357,0.014917010585613769,-0.03901286327376119,63.8752052545156,63.8752052545156,1832.1301706574152,1321.3399014778324,0.024599010087365314,0.03005870289741175,"{""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}"
SVR,H5,609,1989.8805030457831,1428.612975764018,1.6547966470691542,0.024362801070629225,0.9904424371209029,0.02181430203614968,0.016682727459690246,-0.0536069489492319,66.00985221674877,66.00985221674877,2049.380461471727,1484.8407224958949,0.029033144184079318,0.03786786412845855,"{""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}"
SVR,H6,609,2178.0321118471243,1559.4228948069401,1.8050025213154723,0.02666640684460894,0.9886521634256747,0.02396372277916099,0.01824259583235674,-0.06602389365801331,67.81609195402298,67.81609195402298,2255.2720882674503,1631.3809523809523,0.03424862872295975,0.04410867827590581,"{""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}"
SVR,H7,609,2369.1957585652012,1695.7901370784593,1.963134239503579,0.029006890049404377,0.9866912454186033,0.026096093019058294,0.01989422115617993,-0.07800812024674952,69.78653530377669,69.78653530377669,2464.357652361372,1790.2939244663382,0.03861529340312497,0.05278674417445117,"{""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}"
SVR,Overall,4263,1772.9530362937535,1201.4325619857336,1.3907726995704033,0.021706882430717993,0.9923478359766176,0.019402508127716007,0.014018646502501843,-0.030861170621157008,64.67276565798733,64.64930799906169,1826.337191919348,1245.660567675346,0.029230174943484344,0.03550566409286826,"{""H1"": {""model__C"": 14.689898077648792, ""model__epsilon"": 0.007528657637770698, ""model__gamma"": 1.0431827200054888}, ""H2"": {""model__C"": 5.414413211338521, ""model__epsilon"": 4.075774074807649e-05, ""model__gamma"": 7.045683638454494}, ""H3"": {""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}, ""H4"": {""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}, ""H5"": {""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}, ""H6"": {""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}, ""H7"": {""model__C"": 75.10418138777538, ""model__epsilon"": 0.012627407242820354, ""model__gamma"": 2.9794544625913595}}"
XGBoost,H1,609,845.1084863212775,546.1915231370765,0.6304887309175986,0.010564912570272996,0.9982122280221035,0.009019182144568825,0.006307495363340355,-0.014343386836835448,60.26272577996716,59.93431855500822,849.5308924778545,552.832512315271,0.005205703754548652,0.012012660308963863,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}"
XGBoost,H2,609,1220.0934471112669,832.1626600636533,0.9650100260172706,0.014938029642509726,0.9963132023666671,0.013106500353361729,0.00967849047247015,-0.028878328895496574,61.57635467980296,62.23316912972086,1233.1886106453007,847.7848932676519,0.010618946218763248,0.018427119105396184,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}"
XGBoost,H3,609,1521.8984219386152,1070.1092803381323,1.241053359126078,0.018633133219126748,0.994310382410573,0.016586358444235866,0.012471431660146406,-0.03963582421574241,63.2183908045977,62.88998357963875,1546.002527310327,1091.1510673234811,0.015591245774770557,0.01928402731343415,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}"
XGBoost,H4,609,1795.7741722370145,1288.5626726961889,1.492361326122062,0.021986289558100988,0.9921456422471936,0.019572959085995503,0.01501873201482956,-0.04992495274740949,63.05418719211823,63.8752052545156,1832.1301706574152,1321.3399014778324,0.019843567341809143,0.024806053873786982,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}"
XGBoost,H5,609,1998.4535300403863,1434.5440385667594,1.664990103551274,0.024467763630402515,0.9903599057828995,0.021913041004394812,0.01678065298142134,-0.06316650351990893,64.86042692939245,66.00985221674877,2049.380461471727,1484.8407224958949,0.024849915566565017,0.0338734540123542,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}"
XGBoost,H6,609,2184.049605850786,1563.2214718024604,1.8148433510468083,0.026740081122602274,0.9885893729202153,0.02406113876750558,0.01833318482511974,-0.0747085917944672,66.83087027914614,67.81609195402298,2255.2720882674503,1631.3809523809523,0.031580438913416775,0.041780235621247774,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}"
XGBoost,H7,609,2369.177623442759,1693.8483130732566,1.968740125774636,0.02900666801477477,0.9866914491628226,0.026177997144590674,0.019938335780316813,-0.0847855232260124,68.63711001642037,69.78653530377669,2464.357652361372,1790.2939244663382,0.03862265236842166,0.05387138395268298,"{""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}"
XGBoost,Overall,4263,1777.6673263287887,1204.0914228110753,1.396783860365104,0.021764601127964894,0.9923070875969165,0.019477977715666315,0.01407547472823491,-0.03889621158690848,64.06286652592071,64.64930799906169,1826.337191919348,1245.660567675346,0.026648893646748162,0.03337116542257357,"{""H1"": {""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}, ""H2"": {""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}, ""H3"": {""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}, ""H4"": {""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}, ""H5"": {""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}, ""H6"": {""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}, ""H7"": {""model__colsample_bytree"": 0.7, ""model__gamma"": 1e-08, ""model__learning_rate"": 0.005, ""model__max_depth"": 1, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_alpha"": 1e-10, ""model__reg_lambda"": 0.0, ""model__subsample"": 0.7}}"
